gem.code;Naam;Adres;Postcode;Plaats
479;Zaanstad;Postbus 2000;1500 GA;Zaandam
297;Zaltbommel;Postbus 10002;5300 DA;Zaltbommel
473;Zandvoort;Postbus 2;2040 AA;Zandvoort
707;Zederik;Postbus 1;4230 BA;Meerkerk
50;Zeewolde;Postbus 1;3890 AA;Zeewolde
355;Zeist;Postbus 513;3700 AM;Zeist
299;Zevenaar;Postbus 10;6900 AA;Zevenaar
637;Zoetermeer;Postbus 15;2700 AA;Zoetermeer
638;Zoeterwoude;Postbus 34;2380 AA;Zoeterwoude
56;Zuidhorn;Postbus 3;9800 AA;Zuidhorn
1892;Zuidplas;Postbus 100;2910 AC;Nieuwerkerk aan den IJssel
879;Zundert;Postbus 10001;4880 GA;Zundert
301;Zutphen;Postbus 41;7200 AA;Zutphen
1896;Zwartewaterland;Postbus 23;8060 AA;Hasselt
642;Zwijndrecht;Postbus 15;3330 AA;Zwijndrecht
193;Zwolle;Postbus 10007;8000 GA;Zwolle
